# 2023-03-03T18:03:03+08:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S08487
# Firmware: 787
# Software: 1.9.0.2
# Sensitivity: 100
# Gain: 340
# Scan Range [ps]: 50.0
# Filter ACF: 1
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 1.910
# Fit Type: Sech2
# Fit Pulse Duration [ps]: 1.188
# FWHM Valid: 1
# ==========
Delay [ps]	Intensity [arb.u.]	Fit [arb.u.]
27.011977	0.067106	0.064570
27.015511	0.067120	0.064570
27.019091	0.067128	0.064570
27.022671	0.067128	0.064570
27.026210	0.067122	0.064570
27.029794	0.067109	0.064570
27.033336	0.067090	0.064570
27.036813	0.067063	0.064570
27.040355	0.067030	0.064570
27.043809	0.066991	0.064570
27.047262	0.066945	0.064570
27.050606	0.066894	0.064570
27.053995	0.066836	0.064570
27.057471	0.066773	0.064570
27.060794	0.066705	0.064570
27.064031	0.066632	0.064570
27.067269	0.066554	0.064570
27.070620	0.066472	0.064570
27.073928	0.066387	0.064570
27.077171	0.066298	0.064570
27.080500	0.066206	0.064570
27.083743	0.066111	0.064570
27.086985	0.066015	0.064570
27.090184	0.065917	0.064570
27.093382	0.065818	0.064570
27.096580	0.065719	0.064570
27.099780	0.065619	0.064570
27.102958	0.065520	0.064570
27.106091	0.065422	0.064570
27.109227	0.065325	0.064570
27.112281	0.065231	0.064570
27.115471	0.065139	0.064570
27.118513	0.065049	0.064570
27.121514	0.064963	0.064570
27.124603	0.064881	0.064570
27.127520	0.064803	0.064570
27.130501	0.064730	0.064570
27.133545	0.064662	0.064570
27.136478	0.064600	0.064570
27.139454	0.064543	0.064570
27.142431	0.064492	0.064570
27.145236	0.064447	0.064570
27.148104	0.064409	0.064570
27.150907	0.064378	0.064570
27.153711	0.064354	0.064570
27.156496	0.064338	0.064570
27.159369	0.064328	0.064570
27.162179	0.064326	0.064570
27.164966	0.064331	0.064570
27.167731	0.064344	0.064570
27.170388	0.064364	0.064570
27.173111	0.064391	0.064570
27.175875	0.064426	0.064570
27.178571	0.064468	0.064570
27.181199	0.064517	0.064570
27.183828	0.064573	0.064570
27.186523	0.064635	0.064570
27.189178	0.064704	0.064570
27.191726	0.064779	0.064570
27.194320	0.064860	0.064570
27.196851	0.064946	0.064570
27.199447	0.065037	0.064570
27.202044	0.065133	0.064570
27.204594	0.065233	0.064570
27.207120	0.065337	0.064570
27.209621	0.065444	0.064570
27.212035	0.065555	0.064570
27.214517	0.065668	0.064570
27.217020	0.065783	0.064570
27.219499	0.065900	0.064570
27.221934	0.066018	0.064570
27.224370	0.066137	0.064570
27.226829	0.066256	0.064570
27.229203	0.066374	0.064570
27.231535	0.066492	0.064570
27.233912	0.066609	0.064570
27.236250	0.066723	0.064570
27.238657	0.066836	0.064570
27.240953	0.066947	0.064570
27.243222	0.067054	0.064570
27.245532	0.067158	0.064570
