in s,C1 in V
-2.022E-07,-1.44141E-03
-2.020E-07,-2.02734E-03
-2.018E-07,-2.02734E-03
-2.016E-07,-2.02734E-03
-2.014E-07,-1.63672E-03
-2.012E-07,-2.22266E-03
-2.010E-07,-2.80859E-03
-2.008E-07,-2.02734E-03
-2.006E-07,-2.22266E-03
-2.004E-07,-1.83203E-03
-2.002E-07,-2.02734E-03
-2.000E-07,-2.22266E-03
-1.998E-07,-1.44141E-03
-1.996E-07,-1.05078E-03
-1.994E-07,-8.55469E-04
-1.992E-07,-2.02734E-03
-1.990E-07,-2.02734E-03
-1.988E-07,-1.63672E-03
-1.986E-07,-1.63672E-03
-1.984E-07,-1.44141E-03
-1.982E-07,-1.83203E-03
-1.980E-07,-2.22266E-03
-1.978E-07,-2.22266E-03
-1.976E-07,-2.02734E-03
-1.974E-07,-1.63672E-03
-1.972E-07,-1.83203E-03
-1.970E-07,-1.83203E-03
-1.968E-07,-1.83203E-03
-1.966E-07,-1.83203E-03
-1.964E-07,-1.83203E-03
-1.962E-07,-1.83203E-03
-1.960E-07,-1.63672E-03
-1.958E-07,-1.24609E-03
-1.956E-07,-1.63672E-03
-1.954E-07,-2.41797E-03
-1.952E-07,-3.00391E-03
-1.950E-07,-3.00391E-03
-1.948E-07,-2.80859E-03
-1.946E-07,-2.61328E-03
-1.944E-07,-1.44141E-03
-1.942E-07,-1.24609E-03
-1.940E-07,-8.55469E-04
-1.938E-07,-8.55469E-04
-1.936E-07,-1.63672E-03
-1.934E-07,-1.63672E-03
-1.932E-07,-1.44141E-03
-1.930E-07,-1.44141E-03
-1.928E-07,-1.05078E-03
-1.926E-07,-8.55469E-04
-1.924E-07,-6.60156E-04
-1.922E-07,-4.64844E-04
-1.920E-07,-7.42188E-05
-1.918E-07,-6.60156E-04
-1.916E-07,-8.55469E-04
-1.914E-07,-1.63672E-03
-1.912E-07,-1.83203E-03
-1.910E-07,-2.61328E-03
-1.908E-07,-2.02734E-03
-1.906E-07,-2.02734E-03
-1.904E-07,-1.83203E-03
-1.902E-07,-2.22266E-03
-1.900E-07,-1.83203E-03
-1.898E-07,-1.44141E-03
-1.896E-07,-1.44141E-03
-1.894E-07,-8.55469E-04
-1.892E-07,-1.05078E-03
-1.890E-07,-1.05078E-03
-1.888E-07,-1.24609E-03
-1.886E-07,-1.24609E-03
-1.884E-07,-1.63672E-03
-1.882E-07,-2.02734E-03
-1.880E-07,-2.02734E-03
-1.878E-07,-2.61328E-03
-1.876E-07,-2.80859E-03
-1.874E-07,-2.41797E-03
-1.872E-07,-1.83203E-03
-1.870E-07,-1.24609E-03
-1.868E-07,-8.55469E-04
-1.866E-07,-1.24609E-03
-1.864E-07,-1.44141E-03
-1.862E-07,-1.44141E-03
-1.860E-07,-2.02734E-03
-1.858E-07,-2.22266E-03
-1.856E-07,-1.24609E-03
-1.854E-07,-1.44141E-03
-1.852E-07,-1.44141E-03
-1.850E-07,-1.63672E-03
-1.848E-07,-1.44141E-03
-1.846E-07,-8.55469E-04
-1.844E-07,-1.63672E-03
-1.842E-07,-2.02734E-03
-1.840E-07,-1.83203E-03
-1.838E-07,-1.44141E-03
-1.836E-07,-1.05078E-03
-1.834E-07,-1.05078E-03
-1.832E-07,-1.63672E-03
-1.830E-07,-2.22266E-03
-1.828E-07,-2.61328E-03
-1.826E-07,-2.41797E-03
-1.824E-07,-1.83203E-03
-1.822E-07,-1.44141E-03
-1.820E-07,-1.44141E-03
-1.818E-07,-1.83203E-03
-1.816E-07,-2.02734E-03
-1.814E-07,-1.63672E-03
-1.812E-07,-1.44141E-03
-1.810E-07,-1.63672E-03
-1.808E-07,-1.44141E-03
-1.806E-07,-1.24609E-03
-1.804E-07,-1.24609E-03
-1.802E-07,-1.44141E-03
-1.800E-07,-1.44141E-03
-1.798E-07,-1.83203E-03
-1.796E-07,-1.83203E-03
-1.794E-07,-2.02734E-03
-1.792E-07,-2.02734E-03
-1.790E-07,-2.41797E-03
-1.788E-07,-1.05078E-03
-1.786E-07,-1.05078E-03
