Wavelength0,Intensity0,Wavelength1,Intensity1,Wavelength2,Intensity2,Wavelength3,Intensity3,Wavelength4,Intensity4,Wavelength5,Intensity5,Wavelength6,Intensity6,Wavelength7,Intensity7,Wavelength8,Intensity8,Wavelength9,Intensity9,Wavelength10,Intensity10,Wavelength11,Intensity11,Wavelength12,Intensity12,Wavelength13,Intensity13,Wavelength14,Intensity14,Wavelength15,Intensity15,Wavelength16,Intensity16,Wavelength17,Intensity17,Wavelength18,Intensity18,Wavelength19,Intensity19,Wavelength20,Intensity20,Wavelength21,Intensity21,Wavelength22,Intensity22,Wavelength23,Intensity23,Wavelength24,Intensity24,Wavelength25,Intensity25,Wavelength26,Intensity26,Wavelength27,Intensity27,Wavelength28,Intensity28,Wavelength29,Intensity29
1426.5,-84.439,1426.5,-81.782,1426.5,-79.686,1426.5,-210.0,1426.5,-84.453,1426.5,-210.0,1426.5,-82.196,1426.5,-81.565,1426.5,-81.571,1426.5,-81.359,1426.5,-210.0,1426.5,-82.19,1426.5,-83.262,1426.5,-87.11,1426.5,-210.0,1426.5,-83.911,1426.5,-84.87,1426.5,-90.456,1426.5,-80.182,1426.5,-80.828,1426.5,-81.17,1426.5,-83.246,1426.5,-80.712,1426.5,-83.009,1426.5,-81.517,1426.5,-80.735,1426.5,-81.24,1426.5,-81.628,1426.5,-82.597,1426.5,-80.236
1426.65,-86.548,1426.65,-84.075,1426.65,-80.983,1426.65,-92.338,1426.65,-81.228,1426.65,-210.0,1426.65,-80.22,1426.65,-86.426,1426.65,-84.119,1426.65,-79.876,1426.65,-93.793,1426.65,-81.716,1426.65,-80.708,1426.65,-79.994,1426.65,-79.59,1426.65,-82.043,1426.65,-83.555,1426.65,-81.765,1426.65,-86.874,1426.65,-81.59,1426.65,-84.664,1426.65,-86.31,1426.65,-85.975,1426.65,-81.35,1426.65,-80.218,1426.65,-82.927,1426.65,-81.845,1426.65,-81.957,1426.65,-81.117,1426.65,-81.445
1426.8,-81.367,1426.8,-81.596,1426.8,-81.666,1426.8,-84.27,1426.8,-81.979,1426.8,-210.0,1426.8,-86.839,1426.8,-88.137,1426.8,-81.539,1426.8,-80.576,1426.8,-83.28,1426.8,-97.803,1426.8,-81.164,1426.8,-83.054,1426.8,-80.499,1426.8,-82.662,1426.8,-81.314,1426.8,-82.075,1426.8,-81.894,1426.8,-83.704,1426.8,-80.702,1426.8,-81.412,1426.8,-82.785,1426.8,-82.897,1426.8,-80.054,1426.8,-80.226,1426.8,-84.981,1426.8,-80.66,1426.8,-81.769,1426.8,-81.534
1426.95,-210.0,1426.95,-81.891,1426.95,-84.748,1426.95,-84.842,1426.95,-83.561,1426.95,-71.631,1426.95,-83.939,1426.95,-81.507,1426.95,-85.497,1426.95,-86.066,1426.95,-90.267,1426.95,-85.308,1426.95,-84.867,1426.95,-87.953,1426.95,-210.0,1426.95,-81.095,1426.95,-81.71,1426.95,-92.676,1426.95,-79.873,1426.95,-83.288,1426.95,-82.071,1426.95,-82.594,1426.95,-81.221,1426.95,-79.669,1426.95,-81.933,1426.95,-91.213,1426.95,-84.581,1426.95,-210.0,1426.95,-83.544,1426.95,-83.186
1427.1,-88.784,1427.1,-83.521,1427.1,-79.682,1427.1,-81.284,1427.1,-83.543,1427.1,-70.197,1427.1,-82.669,1427.1,-80.613,1427.1,-85.603,1427.1,-82.385,1427.1,-82.208,1427.1,-87.137,1427.1,-210.0,1427.1,-81.55,1427.1,-86.371,1427.1,-210.0,1427.1,-83.752,1427.1,-81.982,1427.1,-81.817,1427.1,-81.014,1427.1,-81.396,1427.1,-83.685,1427.1,-79.67,1427.1,-90.319,1427.1,-81.872,1427.1,-81.794,1427.1,-80.927,1427.1,-81.469,1427.1,-83.7,1427.1,-80.364
1427.25,-80.181,1427.25,-210.0,1427.25,-79.514,1427.25,-85.264,1427.25,-84.414,1427.25,-210.0,1427.25,-79.935,1427.25,-84.927,1427.25,-82.503,1427.25,-86.306,1427.25,-81.813,1427.25,-81.108,1427.25,-210.0,1427.25,-84.895,1427.25,-90.135,1427.25,-84.406,1427.25,-87.231,1427.25,-83.846,1427.25,-89.795,1427.25,-82.064,1427.25,-81.078,1427.25,-81.496,1427.25,-80.33,1427.25,-82.725,1427.25,-85.337,1427.25,-83.957,1427.25,-80.488,1427.25,-85.591,1427.25,-81.746,1427.25,-83.918
1427.4,-82.054,1427.4,-81.306,1427.4,-80.315,1427.4,-82.37,1427.4,-81.18,1427.4,-210.0,1427.4,-82.113,1427.4,-82.881,1427.4,-81.414,1427.4,-87.671,1427.4,-210.0,1427.4,-88.25,1427.4,-77.984,1427.4,-82.95,1427.4,-82.263,1427.4,-87.277,1427.4,-81.322,1427.4,-82.423,1427.4,-80.781,1427.4,-83.601,1427.4,-84.107,1427.4,-84.634,1427.4,-80.925,1427.4,-83.913,1427.4,-86.649,1427.4,-79.981,1427.4,-81.16,1427.4,-82.742,1427.4,-84.989,1427.4,-210.0
1427.55,-82.108,1427.55,-90.939,1427.55,-80.497,1427.55,-210.0,1427.55,-83.63,1427.55,-71.993,1427.55,-84.42,1427.55,-87.417,1427.55,-92.143,1427.55,-82.802,1427.55,-89.244,1427.55,-82.055,1427.55,-90.215,1427.55,-83.681,1427.55,-85.703,1427.55,-81.299,1427.55,-81.718,1427.55,-83.229,1427.55,-82.999,1427.55,-86.957,1427.55,-86.482,1427.55,-80.731,1427.55,-84.173,1427.55,-82.196,1427.55,-83.841,1427.55,-98.705,1427.55,-82.408,1427.55,-87.448,1427.55,-81.369,1427.55,-79.306
1427.7,-85.693,1427.7,-210.0,1427.7,-81.269,1427.7,-85.161,1427.7,-82.027,1427.7,-210.0,1427.7,-88.634,1427.7,-83.057,1427.7,-81.354,1427.7,-83.139,1427.7,-81.477,1427.7,-83.935,1427.7,-85.145,1427.7,-86.281,1427.7,-80.243,1427.7,-82.257,1427.7,-80.094,1427.7,-82.351,1427.7,-83.947,1427.7,-83.065,1427.7,-80.209,1427.7,-81.296,1427.7,-80.614,1427.7,-79.33,1427.7,-80.266,1427.7,-81.445,1427.7,-80.566,1427.7,-81.043,1427.7,-80.208,1427.7,-84.592
1427.85,-84.462,1427.85,-78.552,1427.85,-89.472,1427.85,-83.897,1427.85,-83.628,1427.85,-210.0,1427.85,-80.509,1427.85,-83.593,1427.85,-80.97,1427.85,-83.899,1427.85,-84.295,1427.85,-80.058,1427.85,-82.081,1427.85,-91.264,1427.85,-87.324,1427.85,-210.0,1427.85,-210.0,1427.85,-82.556,1427.85,-82.255,1427.85,-88.895,1427.85,-83.917,1427.85,-88.541,1427.85,-80.127,1427.85,-88.203,1427.85,-87.922,1427.85,-210.0,1427.85,-81.996,1427.85,-210.0,1427.85,-80.906,1427.85,-85.913
