Name,Sweep (T1),,,
Date,24/2/2023,,,
Time,7:14:22 AM,,,
Instrument,FSC6 - 101132/006,,,
Firmware Version,V2.22,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,100500000,Hz,,
Frequency Offset,0,Hz,,
Span,199000000,Hz,,
Ref Level,-10,dBm,,
Ref Offset,0,dB,,
Ref Position,1,,,
Range,100,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,10,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,10000,Hz,,
VBW,300,Hz,,
SWT,30.9,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Math,Off,,,
Trace Detector,Auto Peak,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Gated Trigger,Off,,,
Gate Mode,Edge,,,
Gate Delay,0,s,,
Gate Length,0.0004,s,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,13080952.4,Hz,,
Marker 1 Value,-99.78,dBm,,

Frequency [Hz],Maximum [dBm],Minimum [dBm],,
1000000,-96.3230743408203,-103.178245544434,,
1315873.01587302,-96.4032592773438,-108.251647949219,,
1631746.03174603,-97.4101791381836,-106.930892944336,,
1947619.04761905,-98.6741790771484,-106.803573608398,,
2263492.06349206,-97.6275405883789,-107.086959838867,,
2579365.07936508,-98.5816650390625,-106.829559326172,,
2895238.0952381,-97.3264465332031,-106.793334960938,,
3211111.11111111,-98.511833190918,-107.567977905273,,
3526984.12698413,-98.7651519775391,-107.580123901367,,
3842857.14285714,-99.3487014770508,-107.29222869873,,
4158730.15873016,-98.0406494140625,-107.508506774902,,
4474603.17460317,-98.2248229980469,-107.546600341797,,
4790476.19047619,-94.4495849609375,-106.873680114746,,
5106349.20634921,-99.474609375,-108.000175476074,,
5422222.22222222,-95.4497833251953,-109.536933898926,,
5738095.23809524,-98.7981719970703,-106.920104980469,,
6053968.25396825,-99.3477630615234,-107.706886291504,,
6369841.26984127,-99.246940612793,-107.458381652832,,
6685714.28571429,-98.8038330078125,-107.013710021973,,
7001587.3015873,-98.9553070068359,-107.99340057373,,
7317460.31746032,-100.456283569336,-107.764892578125,,
7633333.33333333,-99.1730804443359,-109.562194824219,,
7949206.34920635,-99.8063812255859,-108.592437744141,,
8265079.36507936,-99.2435913085938,-109.112281799316,,
8580952.38095238,-99.3738861083984,-107.03377532959,,
8896825.3968254,-99.1111602783203,-107.212326049805,,
9212698.41269841,-99.3295364379883,-108.620597839355,,
9528571.42857143,-99.3742904663086,-108.235717773438,,
